,Geographic Area Name,LDS Presence,Sister Cities,Population 18 to 24 years,Population 18 to 24 years!!Less than high school graduate,Population 18 to 24 years!!High school graduate (includes equivalency),Population 18 to 24 years!!Bachelor's degree or higher,Population 25 years and over,Population 25 years and over!!Less than 9th grade,"Population 25 years and over!!9th to 12th grade, no diploma",Population 25 years and over!!High school graduate (includes equivalency),Population 25 years and over!!Bachelor's degree,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings,Total population,Male,Female,Under 18 years,18 years and over,21 years and over,65 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Total housing units,"Citizen, 18 and over population",Male,Female
844,"Tahlequah, OK",0,0,7250,929,2281,359,30357,1249,3254,9536,4859,14929,4763,31131,"650,211","316,590","333,621","136,762","513,449","479,208","111,162","541,632","54,087","2,695","18,990","296,071","498,706","239,163","259,543"
845,"Talladega-Sylacauga, AL",0,0,7870,1493,2997,260,64352,3798,8548,22785,5699,35392,6798,31465,"48,871","23,850","25,021","10,751","38,120","34,757","8,174","24,310",629,"16,486",417,"22,279","37,026","17,894","19,132"
846,"Tallahassee, FL",1,0,70800,6161,12341,8179,236052,6883,15303,56151,51629,143258,66173,37540,"80,244","38,705","41,539","16,991","63,253","60,190","14,305","50,941","25,904",282,432,"38,021","62,268","29,569","32,699"
847,"Tampa, FL",1,0,241930,36613,77063,25077,2174962,81939,149491,633280,415508,1602506,531361,36647,"384,783","185,640","199,143","73,556","311,227","279,021","55,589","229,517","125,767",734,"10,856","172,558","300,951","142,540","158,411"
848,"Taos, NM",0,0,2883,556,1102,53,23952,941,1669,6295,3865,18456,6277,25803,"3,152,928","1,530,176","1,622,752","625,152","2,527,776","2,426,869","622,501","2,370,437","383,554","8,578","110,991","1,436,297","2,350,004","1,120,567","1,229,437"
849,"Taylorville, IL",0,0,2602,507,1055,241,23786,655,2001,9975,2715,20571,3769,35765,"32,759","16,126","16,633","5,778","26,981","26,270","8,643","25,627",89,"1,927",283,"21,053","26,258","12,731","13,527"
850,"Terre Haute, IN",0,0,21305,2613,6080,1590,113145,3037,9459,41849,14184,92969,21085,33007,"32,705","16,603","16,102","6,550","26,155","25,289","6,444","31,533",504,70,228,"15,592","25,947","13,162","12,785"
851,"Texarkana, TX-AR",0,0,12560,1782,5651,313,102031,3688,9038,36501,12522,66062,15030,33678,"186,580","93,983","92,597","39,142","147,438","137,555","32,343","168,447","9,040",312,"2,383","83,871","145,104","72,217","72,887"
852,"The Dalles, OR",0,0,1984,502,619,87,18053,1016,1540,5147,2347,14234,3466,33347,"149,482","74,526","74,956","35,221","114,261","109,135","25,491","103,287","36,553","1,462","1,297","66,121","111,802","54,943","56,859"
853,"The Villages, FL",0,0,3817,1306,1121,143,108330,2686,6444,32762,19329,91668,32713,24968,"26,274","13,163","13,111","5,882","20,392","19,554","5,293","23,105",39,855,233,"11,712","18,735","9,142","9,593"
854,"Thomaston, GA",0,0,2160,297,883,89,17973,1003,2609,6454,1486,10709,2034,30845,"129,938","64,718","65,220","9,422","120,516","118,615","75,082","115,275","9,253",348,"1,244","72,655","118,146","58,484","59,662"
855,"Thomasville, GA",0,0,3543,773,1350,298,30431,1486,3804,9393,3935,16687,5442,31616,"26,329","12,560","13,769","5,923","20,406","19,788","4,813","17,905","7,285",164,105,"12,147","19,999","9,299","10,700"
856,"Tiffin, OH",0,0,6091,556,2011,365,37100,882,2401,17094,3653,32620,5520,33905,"44,545","21,273","23,272","10,592","33,953","32,705","8,027","26,658","16,419",67,120,"20,782","33,306","15,349","17,957"
857,"Tifton, GA",0,0,4653,712,1041,31,25790,1320,3385,8886,2298,14850,3549,29780,"55,251","27,758","27,493","12,051","43,200","40,266","9,858","51,104","1,739",198,353,"24,157","42,561","21,104","21,457"
858,"Toccoa, GA",0,0,2647,618,706,127,17285,871,1985,6343,2160,12841,3737,30572,"40,590","19,725","20,865","10,036","30,554","27,832","5,989","25,281","11,914",92,511,"16,850","29,028","13,525","15,503"
859,"Toledo, OH",0,0,67135,7650,18531,6520,400677,8862,29930,123480,65413,301649,94888,36903,"25,934","12,137","13,797","5,610","20,324","19,148","5,218","21,511","2,920",29,156,"12,621","19,955","9,507","10,448"
860,"Topeka, KS",0,0,18994,2778,6926,1680,158318,4019,8103,52481,29137,130046,41524,38774,"643,724","313,833","329,891","143,026","500,698","469,558","107,674","502,864","85,171","1,916","9,888","303,804","491,853","235,250","256,603"
861,"Torrington, CT",0,0,13885,1504,4708,2218,134752,3386,6600,39969,27363,118472,44786,48521,"232,248","113,233","119,015","54,893","177,355","170,198","42,646","194,496","14,895","2,739","2,518","105,347","173,441","83,315","90,126"
862,"Traverse City, MI",0,0,10519,1569,3267,953,108481,1748,4758,29191,21893,98111,34860,32926,"181,143","89,565","91,578","32,925","148,218","142,442","38,580","166,060","3,108",300,"3,519","88,362","142,847","69,992","72,855"
863,"Trenton, NJ",0,0,41897,4446,10745,6210,247693,13686,16031,60605,53329,145949,72277,49889,"149,717","74,165","75,552","29,093","120,624","116,020","33,337","141,333","1,054","1,765",833,"85,228","119,403","58,378","61,025"
864,"Troy, AL",0,0,7606,326,1693,737,19258,920,2740,6405,2846,9864,3562,30063,"368,085","179,986","188,099","78,499","289,586","270,902","56,354","219,896","75,292",928,"42,301","145,115","250,756","119,837","130,919"
865,"Truckee-Grass Valley, CA",0,0,6126,631,1724,452,75777,1491,2895,13945,17914,67161,26149,37157,"33,274","16,011","17,263","6,285","26,989","22,910","5,115","19,230","12,415",121,715,"16,241","25,976","12,235","13,741"
866,"Tucson, AZ",1,0,122847,17206,37029,9442,678427,31049,48181,152408,124844,491716,186914,33780,"99,417","48,943","50,474","17,000","82,417","80,000","27,250","91,597",410,496,"1,108","53,905","79,684","39,106","40,578"
867,"Tullahoma-Manchester, TN",0,0,9429,940,3593,548,70006,3288,6078,27628,8704,56392,13190,32786,"1,038,476","510,875","527,601","216,362","822,114","770,393","205,320","761,356","36,441","37,350","30,086","463,236","761,999","372,099","389,900"
868,"Tulsa, OK",1,0,86576,16088,30343,6989,652789,24338,46355,190909,121841,449642,144868,37237,"104,419","51,252","53,167","23,061","81,358","76,784","19,398","94,394","4,524",99,"1,073","46,849","79,801","38,565","41,236"
869,"Tupelo, MS",0,0,12478,2307,3587,777,91903,5295,11903,24879,12086,59006,15698,31873,"996,141","489,186","506,955","245,054","751,087","713,724","153,913","698,256","78,960","73,965","26,686","433,870","713,405","343,467","369,938"
870,"Tuscaloosa, AL",0,0,38549,2962,10377,2697,152190,5344,13880,47741,25703,88524,32249,35392,"165,851","79,949","85,902","40,851","125,000","118,105","26,094","123,278","34,425",247,"1,443","71,491","122,715","58,140","64,575"
871,"Twin Falls, ID",1,0,9248,1713,2985,257,67338,4124,5527,19460,8481,54451,12488,31563,"251,878","121,024","130,854","52,903","198,975","179,916","36,190","150,779","90,598",529,"3,471","114,317","193,633","91,415","102,218"
872,"Tyler, TX",0,0,22778,3473,6293,1594,146551,9181,12475,35529,25489,99033,32682,35355,"110,272","54,588","55,684","31,086","79,186","75,494","16,410","97,671",744,802,"1,770","42,375","71,680","34,886","36,794"
873,"Ukiah, CA",0,0,6732,983,2634,378,61799,3725,4376,15925,10087,47441,13871,29911,"230,184","111,102","119,082","56,410","173,774","164,047","38,131","172,553","39,343",837,"3,773","91,122","162,368","76,408","85,960"
874,"Union City, TN-KY",0,0,2943,547,1146,196,25737,2024,2467,11276,2443,18351,3538,28509,"87,110","43,107","44,003","18,592","68,518","65,698","19,234","69,709",424,"3,789","1,740","40,874","62,393","30,379","32,014"
875,"Urbana, OH",0,0,3322,479,1385,198,26759,645,1856,12720,2603,23260,3920,36956,"979,682","493,534","486,148","207,048","772,634","739,253","174,240","197,903","24,048","1,908","417,316","352,788","704,867","359,759","345,108"
876,"Urban Honolulu, HI",0,0,95902,6128,36870,8756,680707,27765,28867,178520,153306,142167,69740,42331,"30,343","14,653","15,690","6,611","23,732","22,675","6,182","25,345","3,421",72,131,"14,615","23,424","11,184","12,240"
877,"Utica-Rome, NY",0,0,28021,3967,7207,2825,203123,8477,14120,68582,28503,168095,45379,36404,"979,682","493,534","486,148","207,048","772,634","739,253","174,240","197,903","24,048","1,908","417,316","352,788","704,867","359,759","345,108"
878,"Uvalde, TX",0,0,2811,557,1137,172,16824,2501,2150,4519,1973,11235,2409,26300,"290,812","144,775","146,037","61,386","229,426","217,689","55,677","251,978","14,788",582,"9,830","139,309","222,761","109,841","112,920"
879,"Valdosta, GA",0,0,22174,2872,6574,1433,88012,4169,9960,27904,12043,49274,15156,32028,"26,899","13,085","13,814","7,182","19,717","18,234","4,529","23,940",161,128,222,"11,194","18,027","8,733","9,294"
880,"Vallejo-Fairfield, CA",0,0,40064,4597,13869,2753,299653,17045,18986,69822,54826,148627,43892,44347,"444,538","221,230","223,308","98,625","345,913","330,792","69,968","225,258","60,991","2,531","69,169","159,055","313,111","154,890","158,221"
881,"Valley, AL",0,0,3256,434,1443,124,23564,1352,3031,9060,2200,12213,2296,30797,"444,538","221,230","223,308","98,625","345,913","330,792","69,968","225,258","60,991","2,531","69,169","159,055","313,111","154,890","158,221"
882,"Van Wert, OH",0,0,2294,401,825,118,19347,349,1387,8923,2086,17204,3102,35223,"444,538","221,230","223,308","98,625","345,913","330,792","69,968","225,258","60,991","2,531","69,169","159,055","313,111","154,890","158,221"
883,"Vermillion, SD",0,0,4567,71,907,567,6961,98,188,1510,1742,6057,3070,32924,"28,213","13,868","14,345","6,606","21,607","20,755","5,302","27,038",262,92,78,"12,724","21,508","10,496","11,012"
884,"Vernal, UT",1,0,3174,703,1479,57,20889,621,2275,7345,2252,16454,2981,40417,"14,076","6,904","7,172","2,373","11,703","8,879","1,692","12,376",279,512,420,"6,114","11,273","5,489","5,784"
885,"Vernon, TX",0,0,1073,185,380,37,8922,846,1068,3004,1105,5764,1348,30889,"35,736","17,990","17,746","11,775","23,961","22,740","3,802","31,002",181,"2,491",277,"13,792","23,570","11,798","11,772"
886,"Vicksburg, MS",0,0,5825,1143,2007,158,36869,1727,3513,11474,4952,16136,5036,30523,"12,717","6,185","6,532","2,840","9,877","9,332","2,205","9,378","1,242",180,140,"6,242","9,484","4,524","4,960"
887,"Victoria, TX",0,0,9231,1714,3434,415,65083,4640,6055,19779,8946,48066,11568,35804,"46,030","22,045","23,985","10,984","35,046","33,423","7,712","22,011","22,663",99,316,"22,086","34,696","16,340","18,356"
888,"Vidalia, GA",0,0,3371,828,1030,53,23600,1772,2683,9114,2118,13952,3168,30364,"99,622","48,913","50,709","24,959","74,663","71,001","16,657","82,095","5,924",323,"1,115","41,044","71,018","34,442","36,576"
889,"Vincennes, IN",0,0,4756,401,1741,163,24571,671,2214,8808,2522,20836,3860,33338,"36,016","17,053","18,963","8,924","27,092","25,429","5,903","23,816","9,351",7,233,"16,232","25,846","12,117","13,729"
890,"Vineland-Bridgeton, NJ",0,0,12986,2309,5373,740,103911,9605,13339,40015,10474,57421,12295,30076,"36,833","18,639","18,194","7,882","28,951","26,557","6,557","34,219","1,062",21,305,"17,155","28,628","14,301","14,327"
891,"Vineyard Haven, MA",0,0,1300,213,327,184,12731,227,348,3091,3185,11218,5296,44904,"150,085","76,529","73,556","36,038","114,047","108,851","22,839","95,958","29,887","1,393","2,040","56,411","105,437","53,311","52,126"
892,"Virginia Beach, VA",0,0,190519,15433,62582,16282,1148499,30473,71651,286844,221074,671503,256867,40638,"17,430","8,492","8,938","2,926","14,504","13,941","4,266","14,855",764,297,104,"18,030","13,554","6,574","6,980"
893,"Visalia-Porterville, CA",0,0,47876,8201,16333,1371,269073,50901,30444,69974,25710,147904,30653,29453,"463,955","231,958","231,997","142,777","321,178","300,803","52,826","309,798","7,606","5,955","17,310","150,079","261,092","126,027","135,065"
894,"Wabash, IN",0,0,3258,453,1231,216,21712,680,1859,9222,2294,18610,3918,32821,"463,955","231,958","231,997","142,777","321,178","300,803","52,826","309,798","7,606","5,955","17,310","150,079","261,092","126,027","135,065"
895,"Waco, TX",0,0,38259,4045,11595,3416,162069,10494,15844,45942,24192,109112,32158,32392,"31,198","15,263","15,935","6,441","24,757","23,159","6,492","29,686",330,268,162,"14,162","24,534","11,857","12,677"
896,"Wahpeton, ND-MN",0,0,2694,168,684,129,15085,533,733,4250,2581,13241,3198,39585,"271,326","132,158","139,168","66,142","205,184","188,203","39,907","202,341","40,602","1,031","4,347","110,079","190,416","90,615","99,801"
897,"Walla Walla, WA",0,0,8110,739,2251,458,42457,2493,2559,8832,7440,33549,11041,36294,"22,509","11,684","10,825","4,915","17,594","16,131","4,138","20,868",140,384,80,"10,903","17,536","9,089","8,447"
898,"Wapakoneta, OH",0,0,3739,503,1514,273,30920,440,1670,13513,3693,28300,5652,41211,"60,785","31,126","29,659","12,831","47,954","43,940","11,020","49,683","1,063",391,"1,143","24,871","44,993","22,997","21,996"
899,"Warner Robins, GA",0,0,18512,2338,5734,1385,124645,4230,9218,35079,18614,72052,20224,37386,"45,709","22,607","23,102","11,024","34,685","33,331","8,346","43,910",348,30,127,"20,020","34,498","16,972","17,526"
900,"Warren, PA",0,0,2909,413,1435,293,29308,488,1690,13505,3794,26702,5530,33021,"182,819","88,219","94,600","45,365","137,454","128,593","23,999","105,651","60,870","1,057","5,447","75,710","133,176","62,850","70,326"
901,"Warrensburg, MO",0,0,11076,441,2847,965,31014,807,1671,9392,5194,26437,8192,34446,"39,466","19,752","19,714","7,663","31,803","30,700","9,043","38,083",233,51,164,"23,627","31,617","15,750","15,867"
902,"Warsaw, IN",0,0,7307,1207,2582,552,52331,2974,4621,18426,7540,42830,10954,36977,"53,948","27,695","26,253","11,590","42,358","37,807","6,826","47,613","2,096",124,"1,144","22,348","41,509","21,331","20,178"
903,"Washington, IN",0,0,2906,1035,917,96,20396,3031,2434,6886,1857,14600,2739,35381,"79,156","39,526","39,630","18,951","60,205","56,977","13,053","73,468",518,278,"1,195","38,817","57,806","28,360","29,446"
904,"Washington, NC",0,0,3772,816,1326,233,33712,1298,2890,11331,4141,22562,6008,33405,"28,609","13,949","14,660","6,745","21,864","21,006","5,006","26,625",703,8,291,"12,809","21,516","10,390","11,126"
905,"Washington, DC",1,0,542196,62911,149241,101345,4175842,194443,192126,758687,1072157,2195607,1372239,57516,"79,156","39,526","39,630","18,951","60,205","56,977","13,053","73,468",518,278,"1,195","38,817","57,806","28,360","29,446"
906,"Washington Court House, OH",0,0,2241,426,937,202,19555,569,2144,9238,2220,16158,3075,34511,"79,156","39,526","39,630","18,951","60,205","56,977","13,053","73,468",518,278,"1,195","38,817","57,806","28,360","29,446"
907,"Waterloo-Cedar Falls, IA",0,0,24274,1792,4535,2322,108635,3130,5263,33203,21108,91540,28756,38422,"28,609","13,949","14,660","6,745","21,864","21,006","5,006","26,625",703,8,291,"12,809","21,516","10,390","11,126"
908,"Watertown, SD",0,0,2329,213,803,190,18952,586,929,6971,3198,16750,3945,34456,"169,107","83,190","85,917","36,988","132,119","121,751","29,220","145,412","13,022",598,"3,877","74,277","127,248","61,619","65,629"
909,"Watertown-Fort Atkinson, WI",0,0,8211,493,3019,753,58070,1686,3245,19603,10081,51427,14073,38828,"34,237","17,195","17,042","8,718","25,519","24,432","5,846","32,321",190,687,158,"16,142","24,894","12,337","12,557"
910,"Watertown-Fort Drum, NY",0,0,14302,1155,6757,979,72369,1845,4612,24590,9305,58905,14481,35324,"84,837","42,481","42,356","17,886","66,951","62,765","14,497","79,091",710,162,451,"36,010","65,433","32,403","33,030"
911,"Wauchula, FL",0,0,2687,885,1109,23,17323,2363,1835,8304,1232,11274,1528,27899,"111,454","58,395","53,059","26,810","84,644","80,230","15,169","95,294","6,607",493,"1,883","60,119","82,810","44,159","38,651"
912,"Wausau, WI",0,0,10802,1195,4053,1193,93192,3417,4342,32128,16255,81128,22752,39282,"27,027","14,376","12,651","7,077","19,950","18,922","4,371","20,749","1,734",50,316,"9,786","18,552","9,757","8,795"
913,"Waycross, GA",0,0,4235,1097,1576,97,37166,1692,4554,15597,2858,23672,4211,31280,"163,172","81,880","81,292","36,074","127,098","122,189","29,724","147,509",861,366,"7,483","76,857","125,009","62,370","62,639"
914,"Weatherford, OK",0,0,4856,435,1074,330,17009,1060,1344,5213,3047,12514,4056,35976,"55,081","27,769","27,312","13,421","41,660","39,503","9,378","39,490","12,991",153,442,"25,032","41,080","20,320","20,760"
915,"Weirton-Steubenville, WV-OH",0,0,10640,1295,3696,622,85899,2176,6192,36504,9186,73484,13865,32426,"28,929","14,187","14,742","7,179","21,750","19,439","3,867","22,430",876,"1,057",343,"12,661","20,706","10,228","10,478"
916,"Wenatchee, WA",0,1,9702,1998,3480,588,78452,7078,6416,21817,11649,58541,17474,34294,"117,223","57,309","59,914","22,084","95,139","90,276","26,099","108,528","4,828",52,672,"57,554","94,689","45,657","49,032"
917,"West Plains, MO",0,0,3332,652,1002,183,27261,1064,2409,10783,2472,23087,4283,29736,"119,173","59,985","59,188","28,968","90,205","85,917","22,120","87,431",525,787,908,"55,427","79,874","39,240","40,634"
918,"West Point, MS",0,0,1772,310,517,38,13418,729,1735,4552,1754,5264,1746,30668,"40,130","19,519","20,611","9,617","30,513","29,095","7,932","38,400",111,453,279,"18,312","30,254","14,545","15,709"
919,"Wheeling, WV-OH",0,0,11542,1363,4238,798,103629,2110,6920,42003,13563,90338,20752,32355,"19,515","9,157","10,358","4,448","15,067","14,145","3,580","7,547","11,598",109,106,"9,333","14,984","6,876","8,108"
920,"Whitewater-Elkhorn, WI",0,0,13175,871,4104,946,67779,2275,4119,21394,12145,59078,18568,38168,"103,391","51,563","51,828","21,442","81,949","76,344","18,322","94,481",811,353,837,"52,595","78,929","38,867","40,062"
921,"Wichita, KS",1,0,59471,8510,17741,5665,417502,14990,27193,110968,81958,321988,112117,38638,"103,391","51,563","51,828","21,442","81,949","76,344","18,322","94,481",811,353,837,"52,595","78,929","38,867","40,062"
922,"Wichita Falls, TX",0,0,19300,1555,8587,1009,97878,4819,7824,31658,15276,72514,19392,33107,"103,391","51,563","51,828","21,442","81,949","76,344","18,322","94,481",811,353,837,"52,595","78,929","38,867","40,062"
923,"Williamsport, PA",0,0,10617,1081,4038,660,80595,1830,6394,31516,12092,68463,17673,35013,"151,352","78,153","73,199","33,803","117,549","108,245","23,651","120,619","13,636","1,497","3,048","65,512","112,766","57,943","54,823"
924,"Williston, ND",0,0,3069,392,1235,212,21702,553,1163,5736,4377,17192,4936,52169,"114,014","55,828","58,186","23,345","90,669","85,724","22,059","103,914","5,429",165,869,"53,533","89,727","43,499","46,228"
925,"Willmar, MN",0,0,3678,788,868,461,28642,1619,1674,7395,4607,24321,6550,35265,"36,044","19,516","16,528","10,378","25,666","24,922","3,382","29,282","1,631",956,436,"19,490","24,296","13,394","10,902"
926,"Wilmington, NC",0,0,33368,3379,8557,4152,194265,5113,10844,44973,47202,150175,64055,36534,"42,909","21,459","21,450","10,453","32,456","30,945","8,109","37,042","2,210",148,347,"19,988","30,745","15,319","15,426"
927,"Wilmington, OH",0,0,3938,501,1689,242,28099,888,2348,11146,3502,23872,4912,36656,"293,339","141,224","152,115","56,473","236,866","221,840","52,071","234,576","39,227",717,"3,466","142,686","230,689","109,457","121,232"
